Nom;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code(s) UIC
Laigneville;LAI;B;49.29276, 2.44894;60342;87276204
Laillé;LLJ;C;47.9717527, -1.7495654;35126;87471144
Laissey;LJY;C;47.298723, 6.23304;25323;87718437
Lalbenque - Fontanes;LNQ;C;44.3332389, 1.5116628;46109;87613323
Lalinde;LLK;C;44.8396152, 0.7427811;24223;87584441
Lamagistère;LWG;C;44.1267231, 0.8255002;82089;87611855
Lamanon;LMN;C;43.6999662, 5.0913333;13049;87753731
Lamballe;LAM;B;48.46606, -2.511546;22093;87473108
Lamonzie-Saint-Martin;LZE;C;44.8450247, 0.3854609;24225;87584243
Lamothe-Landerron;LOH;C;44.5628433, 0.0451406;33221;87582882
Lamothe-Montravel;LMH;C;44.8537384, 0.0215683;24226;87584151
Lamotte-Beuvron;LBQ;B;47.593898, 2.022499;41106;87543140
Lamure-sur-Azergues;LAZ;C;46.0610834, 4.4921137;69107;87721860
Lancerf;LNF;C;48.761873, -3.1181396;22233;87473850
Lancey;LCW;B;45.2344784, 5.8809758;38547;87417501
Landas;LDD;C;50.4687775, 3.290568;59330;87286575
Landaul - Mendon;LDJ;C;47.7359877, -3.0860172;56096;87476226
Landébia;LDB;C;48.5074212, -2.3313716;22096;87473264
Landerneau;LDO;B;48.453572, -4.256528;29103;87474239
Landévant;LDM;C;47.759578, -3.1251313;56097;87476234
Landivisiau;LDI;B;48.496002, -4.082181;29105;87474270
Landrecies;LNR;C;50.1283138, 3.681997;59331;87295642
Landry;LAY;C;45.5741713, 6.7338182;73142;87741777
Laneuveville-devant-Nancy;LNV;C;48.65564, 6.22792;54300;87141093
Langeac;LNG;C;45.10125, 3.490672;43112;87734319
Langeais;LGS;B;47.324114, 0.410557;37123;87571828
Langogne;LGG;C;44.732776, 3.8573047;48080;87734350
Langon;LGE;B;44.555448, -0.25554;33227;87582775
Langres;LAG;C;47.8769474, 5.3444064;52269;87142091
Lannemezan;LNZ;C;43.114273, 0.387367;65258;87671123
Lannion;LNI;B;48.727638, -3.460353;22113;87473223
Lantenay;LWP;C;47.3351085, 4.860963;21339;87712323
Laon;LAO;B;49.57061, 3.62443;2408;87296012
Lapeyrouse;LPY;C;46.2267825, 2.893393;63187;87641043
Laragne-Montéglin;LRN;C;44.3164984, 5.8189832;5070;87763755
Lardenne;KPL;C;43.5966262, 1.3839252;31555;87611939
Lardy;LYO;B;48.520639, 2.255739;91330;87545160
Laroche - Migennes;LAR;B;47.960998, 3.513191;89257;87683268
Laroque-Timbaut;LRQ;C;44.2875163, 0.7497189;47138;87586412
Laroquebrou;LQB;C;44.9641658, 2.1929167;15094;87645135
Lathus-Saint-Rémy;LHX;C;46.3380917, 0.965009;86120;87575498
Latour-de-Carol - Enveitg;LTL;C;42.4590464, 1.9045027;66066;87611483
Lauterbourg;LTG;C;48.9676973, 8.1826817;67261;87212464
Laval;LAL;A;48.076206, -0.760907;53130;87478404
Laval-de-Cère;LLC;C;44.9512118, 1.9317113;46163;87594796
Lavaufranche;LVF;C;46.3212869, 2.2700972;23104;87597740
Lavaur;LVR;B;43.703479, 1.813146;81140;87615476
Lavaveix-les-Mines;LXM;C;46.0795307, 2.0890801;23105;87597781
Lavilletertre;VWT;C;49.2024666, 1.9206361;60356;87381202
Lavoûte-sur-Loire;LVL;C;45.1214503, 3.9054101;43119;87734707
Le Blanc-Mesnil;BAM;B;48.93248, 2.47747;93029;87271478
Le Bosquet;BQJ;C;43.5515285, 6.9816599;6029;87757757
Le Bourget;LBT;B;48.93096, 2.42571;93029;87271395
Le Bourget T11;BOT;B;;93029;87697359
Le Bouscat - Saint-Germaine;LGM;C;44.870926495346204, -0.614049444932229;33069;87738096
Le Bousquet-d'Orb;LBD;C;43.6912097, 3.1689379;34038;87781583
Le Bras de Fer;BFX;B;48.623287, 2.450625;91228;87681395
Le Breuil-sur-Couze;BCZ;C;45.4670838, 3.2621478;63052;87734228
Le Bruel;BWQ;C;44.4813286, 3.358325;48056;87783548
Le Buet;BVQ;C;46.018805, 6.9204119;74290;87746883
Le Bugue;BDG;C;44.9056892, 0.942795;24067;87595744
Le Buisson-de-Cadouin;LBU;C;44.84723, 0.9081756;24068;87595751
Le Burg;WBW;C;45.2157957, 1.4298135;19278;87594614
Le Cailar;LCI;C;43.6834141, 4.2354236;30059;87775825
Le Cateau-Cambrésis;LCA;C;50.0914606, 3.5400454;59136;87295220
Le Cellier;LEI;C;47.3135164, -1.3506694;44028;87481168
Le Cendre - Orcet;CZJ;B;45.723796, 3.188666;63069;87734160
Le Chambon-Feugerolles;LCF;C;45.3947427, 4.3223823;42044;87726711
Le Chénay Gagny;CGG;B;48.877129, 2.552692;93032;87113522
Le Coteau;LCU;C;46.023984, 4.086248;42071;87726828
Le Coudray-Montceaux;CEX;C;48.5661679, 2.4924649;91179;87681635
Le Creusot;LCR;B;46.807815, 4.4304403;71153;87694000
Le Creusot - Montceau-les-Mines - Montchanin TGV;LCM;A;46.765343, 4.499513;71187;87694109
Le Croisic;LCC;C;47.289836, -2.507442;44049;87481788
Le Dorat;LDT;C;46.2110908, 1.0793364;87059;87592543
Le Dramont;DRW;C;43.4178193, 6.8442467;83118;87757542
Le Fauga;FGA;C;43.4043288, 1.2827183;31181;87611046
Le Genest-Saint-Isle;GST;C;48.0967372, -0.8858084;53103;87478743
Le Grand Jardin;GDJ;C;49.1505827, 0.2271143;14366;87444323
Le Grand-Lemps;LGL;C;45.3966261, 5.4231117;38182;87747220
Le Grau-du-Roi;LGR;B;43.5371273, 4.140338;30133;87775866
Le Haut Banc;HTB;C;50.8163364, 1.7722209;62329;87316687
Le Havre;LHA;A;49.492996, 0.125677;76351;87413013
Le Lioran;LLN;C;45.0905458, 2.7533365;15101;87645473
Le Luc - Le Cannet;LEC;C;43.3902379, 6.3430972;83031;87755405
Le Mans;LEN;A;47.995689, 0.192578;72181;87396002
Le Mans Hôpital-Université;LMV;B;48.014871, 0.17445113;72181;87743872
Le Mée-sur-Seine;WEE;B;48.540086, 2.624116;77285;87682179
Le Méridien La Ferrière;WER;B;45.7684995, 4.7484432;69244;87721522
Le Meux - La Croix-Saint-Ouen;LXS;C;49.3594029, 2.7532645;60402;87276733
Le Molay-Littry;MLW;C;49.2493263, -0.8809741;14370;87444083
Le Monastier-Pin-Moriès;LMR;C;44.5089682, 3.252057;48099;87783308
Le Pallet;PLL;B;47.143831, -1.346898;44117;87481424
Le Péage-de-Roussillon;PGR;B;45.371797, 4.795402;38298;87722678
Le Perray-en-Yvelines;LPE;B;48.6933406, 1.856057;78486;87393298
Le Plessis Chenet;IBM;C;48.5735652, 2.479586;91179;87681627
Le Plessis-Belleville;PLB;B;49.0959033, 2.7448073;60500;87271551
Le Poirier Université;LEP;C;50.33006, 3.50273;59603;87343210
Le Pont-de-Beauvoisin;POB;C;45.524636, 5.680772;38315;87741470
Le Pont-de-Claix;PDC;C;45.1251549, 5.6998669;38317;87747519
Le Pouliguen;LIG;C;47.2825404, -2.4331446;44135;87481762
Le Puy-en-Velay;LPU;B;45.042866, 3.892421;43157;87734699
Le Quesnoy;LQY;B;50.25021, 3.64552;59481;87295857
Le Raincy - Villemomble - Montfermeil;RVM;B;48.889325, 2.512062;93062;87113472
Le Rouget;LRG;C;44.8565391, 2.2355043;15268;87645192
Le Soler;LSL;C;42.6787626, 2.7930798;66195;87784512
Le Stade;LSD;B;48.93093, 2.26056;92025;87381095
Le Teich;TEH;B;44.632507, -1.025556;33527;87582601
Le Theil - La Rouge;LFQ;C;48.2672964, 0.6944581;61356;87396333
Le Theil-de-Bretagne;TIB;C;47.918742, -1.4319925;35333;87471342
Le Thor;LTH;C;43.9265047, 4.9962663;84132;87765453
Le Toec;TOE;C;43.5956037, 1.4014496;31555;87353573
Le Trayas;TYA;C;43.4746639, 6.9243444;83118;87757575
Le Tréport - Mers-les-Bains;LTM;C;50.0628592, 1.3763738;76711;87317529
Le Val d'Or;VDO;B;48.85645, 2.21636;92064;87382366
Le Verdon-sur-Mer;LVD;C;45.5492065, -1.0650925;33544;87581389
Le Vernet d'Ariège;VVT;C;43.1894138, 1.6116214;9331;87611350
Le Vert de Maisons;VDP;B;48.78934, 2.43148;94002;87681247
Le Vieux Briollay;VXB;C;47.5739696, -0.4829396;49048;87484139
Leforest;LEF;B;50.4278, 3.05977;62497;87345223
Lens;LNS;B;50.426818, 2.828254;62498;87345025
Lentilly;LTY;B;45.82163, 4.667103;69112;87721555
Lentilly Charpenay;CNJ;B;45.8165247, 4.6824009;69112;87566919
Lépin-le-Lac - La Bauche;LPL;C;45.541519, 5.7649834;73145;87741439
Lérouville;LEL;C;48.7972181, 5.5387053;55288;87175240
Les Abrets - Fitilieu;FII;C;45.5421091, 5.5754876;38165;87741496
Les Arcs - Draguignan;LAC;B;43.455524, 6.482498;83004;87755447
Les Ardoines;LAD;B;48.782945, 2.409046;94081;87492108
Les Aubrais;LAB;A;47.926801, 1.906629;45147;87543017
Les Bardys;LBY;C;45.9046873, 1.377389;87178;87592048
Les Bons Pères;BJP;C;50.2798638, 4.010967;59514;87297515
Les Bossons;BHS;C;45.9067455, 6.8391969;74056;87746768
Les Boullereaux Champigny;BXP;B;48.824926, 2.511884;94017;87113779
Les Cabannes;CNB;C;42.7862854, 1.6862985;9070;87611574
Les Cabrils;KBI;C;43.779707, 3.1860831;34233;87781559
Les Cauquillous;CQO;C;43.7340198, 1.7546798;81140;87328021
Les Clairières de Verneuil;KVE;B;48.9922407, 1.955265;78642;87386664
Les Coquetiers;LQT;B;48.89244, 2.499415;93077;87113845
Les Deux Jumeaux;HPZ;C;43.3699568, -1.7643532;64260;87677104
Les Échets;ECH;C;45.8746675, 4.9108215;1249;87723718
Les Églisottes-et-Chalaures;EGE;C;45.0942299, -0.0437576;33154;87584532
Les Essarts-le-Roi;LSI;B;48.7217171, 1.8904047;78220;87393280
Les Eyzies-de-Tayac-Sireuil;EYZ;C;44.9411916, 1.0081942;24172;87595736
Les Flachères;FLD;C;45.7774345, 4.7541523;69044;87721704
Les Fontinettes;LTS;C;50.940831, 1.8496343;62193;87317305
Les Grésillons;LEG;B;48.92007, 2.31441;92036;87272146
Les Houches;HOU;C;45.8935639, 6.796924;74143;87746743
Les Lacs;LCK;C;48.1094359, -1.3208165;35252;87471516
Les Laumes Alésia;LLA;B;47.543054, 4.462602;21663;87713115
Les Martres-de-Veyre;MVY;B;45.688155, 3.193228;63214;87734178
Les Moussoux;MQK;C;45.9166347, 6.8589899;74056;87746818
Les Moutiers-en-Retz;MVB;C;47.0618983, -2.0009628;44106;87481259
Les Mureaux;LMU;B;48.9927897, 1.9129871;78440;87386680
Les Noues;LNX;B;49.03234, 2.47633;95280;87276238
Les Ormes;ORE;C;46.9718269, 0.6079476;86183;87575118
Les Pavillons-sous-Bois;PVB;B;48.902418, 2.511781;93057;87113852
Les Pélerins;PKN;C;45.9125671, 6.8472858;74056;87746776
Les Perrières;PEF;C;47.0055213, 3.1467144;58303;87691600
Les Portes de Saint-Cyr;LPC;B;48.8062, 2.07716;78646;87710921
Les Praz de Chamonix;PZI;C;45.9394594, 6.888753;74056;87746826
Les Quatre-Routes-du-Lot;LQR;C;44.9974864, 1.6439067;46232;87594564
Les Ramassiers;RAM;C;43.6024594, 1.3528032;31555;87353581
Les Rosiers-sur-Loire;ROR;C;47.3625386, -0.2205371;49261;87487876
Les Sables Blancs;LSA;C;47.57518, -3.13201;56168;87476267
Les Sables-d'Olonne;LSO;B;46.499917, -1.78105;85194;87486449
Les Salelles;SQL;C;44.4832687, 3.2804008;48185;87783514
Les Saules;LSW;B;48.7454924, 2.417366;94054;87546226
Les Tines;TNJ;C;45.9505693, 6.8991603;74056;87746834
Les Trillers;TIS;C;46.4147461, 2.6001018;3301;87641373
Les Vallées;LWA;B;48.913408, 2.257909;92009;87386300
Les Versannes;VSJ;C;45.088775, 0.8574682;24156;87595702
Les Yvris Noisy-le-Grand;LYV;B;48.823182, 2.579828;93051;87113803
Lesparre-Médoc;LSE;C;45.3035166, -0.9454015;33240;87581314
Lesquin;LEQ;B;50.59068, 3.11771;59343;87286849
Leucate La Franqui;LEU;C;42.9327725, 3.0128555;11202;87781088
Leval;LLW;C;50.1845311, 3.8366811;59344;87295790
Lexos;LEX;C;44.1423958, 1.8851014;82187;87613489
Lezennes;LZS;C;50.6205699, 3.0986481;59350;87287102
Lézignan-Corbières;LZA;C;43.1999609, 2.7699635;11203;87615112
Lezoux;LEZ;C;45.8212175, 3.385986;63195;87734442
Liancourt - Rantigny;LIA;B;49.32471, 2.44532;60524;87276212
Liancourt-Saint-Pierre;LQK;C;49.2204964, 1.905543;60361;87381210
Libercourt;LIK;B;50.48025, 3.00867;62907;87345256
Libourne;LIB;B;44.915888, -0.236344;33243;87584052
Liesle;LJL;C;47.0587683, 5.8208121;25336;87718130
Lieusaint - Moissy;LIU;B;48.628305, 2.568935;77251;87682153
Liévin;LVW;C;50.434139, 2.7716316;62510;87345041
Ligugé;LGJ;C;46.5203091, 0.3331733;86133;87575274
Lille CHR;ECR;B;50.61432, 3.03432;59350;87109306
Lille Europe;LEW;A;50.639224, 3.075796;59350;87223263
Lille Flandres;LLF;A;50.636577, 3.06987;59350;87286005
Lille Porte de Douai;PED;C;50.6119054, 3.075837;59350;87287250
Lillers;LLL;B;50.56163, 2.47903;62516;87342238
Limay;LSH;B;48.9841, 1.74731;78335;87381582
Limeray;LIZ;C;47.4502088, 1.0499661;37131;87574335
Limersheim;LHJ;C;48.4617328, 7.6603581;67200;87212274
Limoges Bénédictins;LIM;A;45.836089, 1.267356;87085;87592006
Limoges Montjovis;LMJ;C;45.8384117, 1.2514147;87085;87592022
Limoux;LMX;C;43.0563831, 2.2228288;11206;87615161
Limoux Flassian;LMF;C;43.0684511, 2.2182832;11206;87598755
Lingolsheim;LGH;C;48.5594092, 7.6781143;67267;87214502
Lisière Pereire;SGM;B;48.9032098, 2.0733132;78551;87733683
Lisieux;LIS;B;49.138299, 0.231143;14366;87444265
Lisle-sur-Tarn;LSU;C;43.85639, 1.80823;81145;87615310
Lison;LSN;B;49.226834, -1.050339;14367;87447219
Liverdun;LDN;C;48.7493158, 6.0617374;54318;87141069
Livron-sur-Drôme;LIV;C;44.7796035, 4.8305412;26165;87761247
Livry-sur-Seine;LYQ;C;48.5104579, 2.6788796;77255;87682401
Lizy-sur-Ourcq;LZO;B;49.021929, 3.031718;77257;87116632
Loches;LOY;B;47.130464, 1.000467;37132;87571471
Logelbach;LOJ;C;48.087299, 7.3206082;68374;87182345
Loison-sous-Lens;LOO;C;50.4401891, 2.8592403;62523;87345231
Loivre;LXV;C;49.3466786, 3.9906699;51329;87171728
Longages - Noé;LNN;C;43.3563239, 1.2519529;31303;87611053
Longecourt-en-Plaine;LJK;C;47.1937936, 5.1346952;21353;87712620
Longjumeau;LJU;B;48.7020364, 2.2943957;91345;87393611
Longpont;LJP;C;49.2726851, 3.2301676;2438;87271775
Longpré-les-Corps-Saints;LGP;B;50.01128, 2.00277;80488;87313122
Longroy - Gamaches;LOG;C;49.9818917, 1.5526598;76394;87313817
Longueau;LUA;A;49.86344, 2.35215;80489;87313049
Longueil-Annel;LPK;C;49.4672441, 2.8634086;60368;87272195
Longueil-Sainte-Marie;LUE;C;49.3425377, 2.7175537;60369;87276303
Longuerue - Vieux-Manoir;LWM;C;49.5566781, 1.2762275;76738;87411447
Longueville;LON;B;48.513703, 3.249822;77260;87116137
Longueville-sur-Scie;LEV;C;49.7917558, 1.1103434;76397;87415141
Longuyon;LGN;C;49.4442555, 5.604482;54322;87194274
Longwy;LWY;B;49.5129923, 5.7696358;54323;87194001
Lons-le-Saunier;LLS;B;46.66858, 5.551108;39300;87718239
Loos lez Lille;LLZ;C;50.6128165, 3.0170581;59360;87286112
Loos-en-Gohelle;LQG;C;50.4378798, 2.7933955;62498;87345033
Lorient Bretagne Sud;LRT;A;47.755597, -3.366221;56121;87476002
Loriol-sur-Drôme;LOL;C;44.7544973, 4.8171679;26166;87761262
Lorraine TGV;TGL;A;48.947773, 6.169838;57422;87142109
Lothiers;LOT;C;46.6946801, 1.5629763;36219;87597104
Louhans;LHN;C;46.6309, 5.2174853;71263;87713735
Loulay;LLY;C;46.0435165, -0.5017525;17211;87491290
Lourches;LOU;C;50.3102834, 3.3434016;59504;87343475
Lourdes;LDS;B;43.10037, -0.042174;65286;87671339
Louroux-de-Bouble;LXB;C;46.2241289, 2.9849368;3152;87641050
Louveciennes;LFC;B;48.8610361, 2.1230176;78350;87382457
Louvres;LOV;B;49.0496573, 2.5018967;95351;87276253
Louvroil;LWF;C;50.2683469, 3.9535768;59392;87295535
Lozanne;LOZ;B;45.85414, 4.681501;69121;87721423
Luant;LUK;C;46.7357683, 1.5901964;36101;87597096
Luc;LCZ;C;44.654092, 3.8915631;48086;87734368
Luc-en-Diois;LDE;C;44.6136615, 5.4546227;26167;87761874
Luc-la-Primaube;LPA;C;44.2913982, 2.5544751;12133;87615773
Luçon;LRK;C;46.4638232, -1.1674217;85128;87486258
Ludon-Médoc;LXN;C;44.9744015, -0.6118009;33256;87581181
Ludres;LUD;C;48.6219545, 6.1709118;54328;87141481
Lumes;LUQ;C;49.7327973, 4.7833571;8263;87172189
Lunas;LKH;C;43.7095814, 3.1948986;34144;87781575
Lunel;LUN;B;43.679392, 4.131086;34145;87773408
Lunel-Viel;LWQ;C;43.6811729, 4.0937398;34146;87773424
Lunery;LNY;C;46.9351795, 2.275014;18133;87576280
Lunéville;LNE;B;48.588233, 6.49727;54329;87141150
Lurbe-Saint-Christau;CLE;C;43.12099, -0.60408;64360;87672741
Lure;LUR;B;47.683269, 6.4925787;70310;87185249
Lus-la-Croix-Haute;LCX;C;44.6709898, 5.6973678;26168;87747667
Lusignan;LUI;C;46.4354949, 0.116555;86139;87485540
Lussac-les-Châteaux;LLX;C;46.4051106, 0.7186918;86140;87575845
Luttenbach-près-Munster;LFZ;C;48.0352559, 7.1186307;68193;87182543
Lutzelbourg;LZF;C;48.7299065, 7.2516808;57427;87215160
Lutzelhouse;LZH;B;48.51812, 7.29391;67306;87214650
Luxé;LXC;C;45.8873947, 0.1094107;16196;87583823
Luxeuil-les-Bains;LXL;C;47.8148606, 6.3726593;70311;87185595
Luzarches;LUZ;B;49.11719, 2.42074;95352;87276576
Luzenac - Garanou;LUG;C;42.7642849, 1.7531248;9131;87611558
Luzy;LUY;C;46.7940793, 3.9693245;58149;87696534
Lycée Henri Sellier;LHS;B;48.91646, 2.51504;93046;87988717
Lyon Gorge de Loup;LYL;B;45.766078, 4.804631;69389;87721175
Lyon Jean Macé;LJC;B;45.74495, 4.84139;69387;87282624
Lyon Part Dieu;LYD;A;45.760559, 4.859355;69383;87723197
Lyon Perrache;LPR;A;45.748476, 4.825733;69382;87722025
Lyon Saint-Exupéry TGV;SXA;A;45.721109, 5.074969;69299;87762906
Lyon Saint-Paul;LSP;B;45.76601, 4.827057;69385;87721159
Lyon Vaise;LVI;B;45.779938, 4.80396;69389;87721001
Macau;MCA;C;45.0040981, -0.6200068;33262;87581199
Machecoul;MCC;C;46.9905038, -1.8227524;44087;87481366
Machilly;MCI;C;46.2512825, 6.3282335;74158;87745588
Mâcon;MAC;B;46.302572, 4.824887;71270;87725689
Mâcon Loché TGV;MLH;A;46.282884, 4.778876;71270;87725705
Magalas;MGA;C;43.4675998, 3.2295415;34147;87781666
Magenta;MAG;B;48.87986, 2.35835;75110;87281873
Magland;MGD;C;46.016945, 6.6215075;74159;87746412
Magnac - Vicq;MGQ;C;45.6288007, 1.4438445;87203;87592279
Magnette;MGR;C;46.4641418, 2.6028771;3010;87641365
Magneux - Courlandon;MXN;C;49.3100006, 3.7331444;51337;87400986
Magny - Blandainville;MBW;C;48.3342906, 1.2811066;28225;87394429
Maillé;MAX;C;47.0533855, 0.5830236;37142;87575068
Mailly-la-Ville;MIY;C;47.6041692, 3.6751472;89237;87683847
Maintenon;MTN;B;48.5854793, 1.5920651;28227;87394130
Maisons-Alfort - Alfortville;MFA;B;48.802071, 2.426977;94046;87681155
Maisons-Laffitte;MLF;B;48.9456394, 2.1443153;78358;87386425
Maisse;MSN;B;48.39304, 2.39312;91359;87681486
Maizières-lès-Metz;MMZ;B;49.2155349, 6.1588762;57433;87191106
Mâlain;MLI;C;47.3270025, 4.8105362;21373;87713065
Malansac;MLO;C;47.6756185, -2.2961796;56123;87476689
Malaunay - Le Houlme;MUA;C;49.5133331, 1.0395776;76366;87411256
Malesherbes;MAL;B;48.2934325, 2.4012177;45191;87684415
Malling;MKG;C;49.42152, 6.302207;57437;87191627
Mamirolle;MIJ;C;47.1998712, 6.1617411;25364;87718510
Mandelieu-la-Napoule;MPV;C;43.523903, 6.941313;6079;87757591
Manosque - Gréoux-les-Bains;MNQ;C;43.8231945, 5.7933241;4112;87751321
Mantes Station;MTQ;B;48.98366, 1.71581;78361;87381590
Mantes-la-Jolie;MTE;B;48.98984, 1.70337;78361;87381509
Marbache;MAH;C;48.8010405, 6.1091755;54351;87141796
Marcelcave;MCV;C;49.8532165, 2.5819031;80507;87313445
Marcheprime;MCP;B;44.690543, -0.85381;33555;87582445
Marchezais - Broué;MBR;B;48.7684736, 1.513444;28062;87393470
Mareil-Marly;MPJ;C;48.8807466, 2.0790676;78367;87733667
Mareil-Marly 2;MPJ;C;48.8807466, 2.0790676;78367;87382812
Mareil-sur-Mauldre;MJM;C;48.8936804, 1.8715159;78368;87381715
Maresquel-Ecquemicourt;MQU;C;50.4078186, 1.9313418;62552;87317206
Mareuil-sur-Ourcq;MAQ;C;49.1355418, 3.075653;60380;87116665
Margaux;MGU;C;45.0358307, -0.6854145;33268;87581215
Margival;MIV;C;49.4393862, 3.4027491;2464;87271882
Marienthal;MTK;C;48.781863, 7.8231894;67180;87213603
Marignier;MRG;B;46.0887815, 6.507826;74164;87746347
Marigny;MRJ;C;46.1990832, -0.428404;79166;87485334
Marles-en-Brie;MLB;B;48.733976, 2.868099;77229;87116228
Marlieux - Châtillon;MXC;C;46.0638765, 5.0731097;1235;87723767
Marly-le-Roi;MLR;B;48.8713084, 2.0965436;78372;87382465
Marmagne;MMH;C;47.1001505, 2.2819971;18138;87576132
Marmagne sous Creusot;MMS;C;46.8334607, 4.3601911;71282;87694182
Marmande;MMD;B;44.503019, 0.168044;47157;87586545
Marne-la-Vallée Chessy;MLV;A;48.869856, 2.78272;77111;87111849
Maroeuil;MUI;C;50.322603, 2.6983279;62557;87342188
Marolles-en-Hurepoix;MSX;B;48.565345, 2.290327;91376;87545186
Maromme;MRM;C;49.479935, 1.050485;76474;87411249
Marquillies;MQS;C;50.5477246, 2.8661707;59388;87342469
Marquise - Rinxent;MRX;B;50.8056635, 1.72988;62711;87317339
Marquixanes;MQG;C;42.6428224, 2.4858388;66103;87784629
Marsac;MRR;C;46.0941348, 1.585556;23124;87597625
Marsac-sur-L'isle;MRA;C;45.1860541, 0.6626174;24256;87595207
Marseillan Plage;MPP;C;43.3181964, 3.5355281;34150;87781294
Marseille Blancarde;MBC;B;43.29614391, 5.406559;13204;87751081
Marseille Saint-Charles;MSC;A;43.302666, 5.380407;13201;87751008
Marseille-en-Beauvaisis;MAI;C;49.5709066, 1.9546349;60387;87313726
Marssac-sur-Tarn;MSS;C;43.9151803, 2.026913;81156;87615419
Martigné-Ferchaud;MAF;C;47.8321302, -1.3137943;35167;87471367
Martigues;MTG;C;43.3929209, 5.0257804;13056;87753509
Martres-Tolosane;MXA;C;43.1962069, 1.0167558;31324;87611087
Marvejols;MVJ;C;44.5446819, 3.2810718;48092;87783282
Massérac;MWK;C;47.6745316, -1.9144441;44092;87471227
Masseret;MST;C;45.536175, 1.5415396;19129;87594820
Massiac - Blesle;MIA;C;45.2537695, 3.1965518;15119;87734871
Massy - Palaiseau;MPU;B;48.7264211, 2.2575281;91377;87393579
Massy - Verrières;MVW;B;48.7343097, 2.2736721;91377;87383281
Massy Europe;MEU;B;48.72342, 2.27194;91377;87725465
Massy TGV;MPW;A;48.725758, 2.261254;91377;87393702
Matzenheim;MHW;C;48.3987556, 7.6196003;67285;87214130
Maubeuge;MBG;B;50.27298, 3.96677;59392;87295006
Maule;MAE;B;48.90917, 1.85708;78380;87381723
Maurecourt;MRK;B;48.98712, 2.05963;78015;87381483
Maurois;MAK;C;50.0674506, 3.4562554;59311;87345546
Maurs;MRS;C;44.7061543, 2.1995656;15122;87645168
Mauves-sur-Loire;MUE;C;47.2930211, -1.3893042;44094;87481150
Mauzac-et-Grand-Castang;MZJ;C;44.8558291, 0.7899658;24260;87584466
Mauzé-sur-le-Mignon;MAZ;C;46.1995881, -0.6737264;79170;87485250
Mayet;MYT;C;47.7601465, 0.2659384;72191;87396580
Mazamet;MZT;C;43.4977847, 2.3747346;81163;87615542
Mazingarbe;MJG;C;50.4608957, 2.7005447;62563;87342121
Meaux;MEA;B;48.957759, 2.874041;77284;87116103
Mehun-sur-Yèvre;MHY;C;47.1394406, 2.2071342;18141;87576116
Melun;MEL;B;48.527662, 2.655404;77288;87682005
Menars;EIR;C;47.6450036, 1.405617;41134;87574244
Mende;MDE;C;44.522322, 3.5019875;48095;87783605
Ménil Flin;MFN;C;48.5050204, 6.6592265;54199;87141390
Mennecy;MNY;B;48.5709075, 2.433165;91386;87681411
Mennessis;MKI;C;49.6915989, 3.2711145;2474;87296434
Mennetou-sur-Cher;MNN;C;47.2688835, 1.8765238;41135;87576728
Menton;MEN;B;43.774444, 7.4933;6083;87756486
Menton Garavan;MNJ;B;43.785202, 7.517297;6083;87756494
Mer;MER;B;47.70586, 1.506373;41136;87574194
Mérens-les-Vals;MLX;C;42.6594883, 1.8371278;9189;87611525
Mérenvielle;MWE;C;43.6365051, 1.1503303;31339;87611814
Méricourt - Ribemont;MTL;C;49.9556384, 2.5726254;80530;87313064
Mériel;MVC;B;49.07777, 2.20528;95392;87276675
Mérignac Arlac;MRF;C;44.8265601, -0.6261402;33281;87278259
Méroux;MOX;A;47.58659, 6.89903;90068;87184408
Mertzwiller;MZW;C;48.872013, 7.6781895;67291;87213207
Méru;MRU;B;49.23233, 2.13254;60395;87313668
Mervans;MRV;C;46.7988928, 5.1794099;71295;87713701
Merxheim;MXH;C;47.9126413, 7.3022795;68203;87182725
Méry-sur-Oise;MWO;B;49.05766, 2.19074;95394;87276667
Messac - Guipry;MES;B;47.82225, -1.81822;35176;87471185
Messein;MSJ;C;48.6128788, 6.1378364;54366;87141499
Mesves - Bulcy;MVU;C;47.2420755, 3.0065175;58164;87696187
Mesvres;MWB;C;46.862799, 4.2449659;71297;87694158
Metz;MZE;A;49.109545, 6.176593;57463;87192039
Metz Nord;MZD;C;49.13673, 6.16791;57463;87192070
Metzeral;MZL;C;48.0133301, 7.0733383;68204;87182816
Meudon;MDN;B;48.8147527, 2.2410999;92048;87393108
Meudon Val Fleury;MFY;B;48.8079884, 2.2409045;92048;87393082
Meulan - Hardricourt;MHD;B;49.00564, 1.90213;78299;87381830
Meung-sur-Loire;MGL;B;47.829926, 1.691928;45203;87574137
Meurchin;MHN;C;50.4970516, 2.8930903;62573;87345272
Meursault;MAT;C;46.9690497, 4.7954444;21412;87713560
Meuse TGV;TGM;A;48.978549, 5.270954;55254;87147322
Meximieux - Pérouges;MEX;B;45.901615, 5.193534;1244;87723585
Meymac;MYC;C;45.5302313, 2.1640905;19136;87594275
Meyrargues;MEY;C;43.6440076, 5.5395738;13059;87751370
Mézériat;MZF;C;46.2350502, 5.046622;1246;87725838
Mézidon-Canon;MEZ;B;49.071, -0.07496;14431;87444208
Mignaloux - Nouaillé;MGX;C;46.5261427, 0.4117391;86157;87575704
Milhaud;MHU;C;43.7884886, 4.3033268;30169;87775098
Millas;MYR;C;42.6888961, 2.6937502;66108;87784546
